Using downloaded and verified file: data/train_32x32.mat
Using downloaded and verified file: data/test_32x32.mat
INFO:__main__:Epoch 177, G Loss:0.40, D Loss:-2.98, G WD:3.59, gp:0.61, Time: 23.29.
INFO:__main__:Epoch 178, G Loss:0.46, D Loss:-2.99, G WD:3.60, gp:0.61, Time: 23.08.
INFO:__main__:Epoch 179, G Loss:0.58, D Loss:-2.99, G WD:3.60, gp:0.60, Time: 23.42.
INFO:__main__:Epoch 180, G Loss:0.65, D Loss:-2.98, G WD:3.59, gp:0.61, Time: 23.52.
INFO:__main__:Epoch 181, G Loss:0.65, D Loss:-2.96, G WD:3.57, gp:0.60, Time: 23.37.
INFO:__main__:Epoch 182, G Loss:0.58, D Loss:-2.97, G WD:3.57, gp:0.61, Time: 23.30.
INFO:__main__:Epoch 183, G Loss:0.40, D Loss:-2.95, G WD:3.55, gp:0.60, Time: 23.47.
INFO:__main__:Epoch 184, G Loss:0.65, D Loss:-2.96, G WD:3.57, gp:0.60, Time: 23.23.
INFO:__main__:Epoch 185, G Loss:0.41, D Loss:-2.96, G WD:3.56, gp:0.60, Time: 23.08.
INFO:__main__:Epoch 186, G Loss:0.48, D Loss:-2.95, G WD:3.55, gp:0.60, Time: 23.04.
INFO:__main__:Epoch 187, G Loss:0.52, D Loss:-2.95, G WD:3.55, gp:0.60, Time: 23.49.
INFO:__main__:Epoch 188, G Loss:0.45, D Loss:-2.96, G WD:3.56, gp:0.60, Time: 23.32.
INFO:__main__:Epoch 189, G Loss:0.68, D Loss:-2.95, G WD:3.55, gp:0.60, Time: 23.39.
INFO:__main__:Epoch 190, G Loss:0.85, D Loss:-2.93, G WD:3.54, gp:0.61, Time: 23.13.
INFO:__main__:Epoch 191, G Loss:0.80, D Loss:-2.94, G WD:3.53, gp:0.60, Time: 23.31.
INFO:__main__:Epoch 192, G Loss:0.66, D Loss:-2.95, G WD:3.55, gp:0.60, Time: 23.24.
INFO:__main__:Epoch 193, G Loss:0.49, D Loss:-2.93, G WD:3.53, gp:0.60, Time: 23.23.
INFO:__main__:Epoch 194, G Loss:0.62, D Loss:-2.95, G WD:3.54, gp:0.59, Time: 23.35.
INFO:__main__:Epoch 195, G Loss:0.71, D Loss:-2.93, G WD:3.53, gp:0.60, Time: 23.42.
INFO:__main__:Epoch 196, G Loss:0.79, D Loss:-2.95, G WD:3.55, gp:0.60, Time: 23.19.
INFO:__main__:Epoch 197, G Loss:0.77, D Loss:-2.92, G WD:3.52, gp:0.60, Time: 23.38.
INFO:__main__:Epoch 198, G Loss:1.16, D Loss:-2.93, G WD:3.52, gp:0.59, Time: 23.18.
INFO:__main__:Epoch 199, G Loss:0.91, D Loss:-2.91, G WD:3.51, gp:0.59, Time: 23.17.
INFO:__main__:Epoch 200, G Loss:0.98, D Loss:-2.93, G WD:3.52, gp:0.59, Time: 22.83.
INFO:__main__:Epoch 201, G Loss:0.85, D Loss:-2.93, G WD:3.53, gp:0.59, Time: 32.27.
INFO:__main__:Epoch 202, G Loss:0.89, D Loss:-2.93, G WD:3.53, gp:0.60, Time: 35.97.
INFO:__main__:Epoch 203, G Loss:0.78, D Loss:-2.93, G WD:3.54, gp:0.60, Time: 36.24.
INFO:__main__:Epoch 204, G Loss:0.78, D Loss:-2.92, G WD:3.51, gp:0.59, Time: 35.95.
INFO:__main__:Epoch 205, G Loss:0.78, D Loss:-2.91, G WD:3.50, gp:0.59, Time: 35.89.
INFO:__main__:Epoch 206, G Loss:0.56, D Loss:-2.92, G WD:3.51, gp:0.59, Time: 35.94.
INFO:__main__:Epoch 207, G Loss:0.72, D Loss:-2.93, G WD:3.53, gp:0.60, Time: 35.88.
INFO:__main__:Epoch 208, G Loss:0.65, D Loss:-2.89, G WD:3.48, gp:0.58, Time: 35.90.
INFO:__main__:Epoch 209, G Loss:0.80, D Loss:-2.90, G WD:3.49, gp:0.59, Time: 35.87.
INFO:__main__:Epoch 210, G Loss:0.80, D Loss:-2.91, G WD:3.50, gp:0.59, Time: 35.69.
INFO:__main__:Epoch 211, G Loss:0.75, D Loss:-2.92, G WD:3.51, gp:0.59, Time: 36.02.
INFO:__main__:Epoch 212, G Loss:0.96, D Loss:-2.90, G WD:3.49, gp:0.59, Time: 36.06.
INFO:__main__:Epoch 213, G Loss:1.17, D Loss:-2.89, G WD:3.48, gp:0.59, Time: 36.15.
INFO:__main__:Epoch 214, G Loss:1.04, D Loss:-2.89, G WD:3.48, gp:0.59, Time: 37.24.
INFO:__main__:Epoch 215, G Loss:1.04, D Loss:-2.89, G WD:3.48, gp:0.59, Time: 37.28.
INFO:__main__:Epoch 216, G Loss:1.17, D Loss:-2.90, G WD:3.49, gp:0.59, Time: 36.96.
